Date,Revenue,Net_Income,Total_Equity,Operating_CF,CapEx,Ticker
1996-06-01,2179,-32,2020.0,287.0,-13.0,AAPL
1996-09-01,2321,25,2058.0,296.0,-12.0,AAPL
1996-12-01,2129,-120,1942.0,92.0,-18.0,AAPL
1997-03-01,1601,-708,1242.0,109.0,-17.0,AAPL
1997-06-01,1737,-56,1196.0,-206.0,5.0,AAPL
1997-09-01,1614,-161,1200.0,159.0,24.0,AAPL
1997-12-01,1578,47,1244.0,132.0,35.0,AAPL
1998-03-01,1405,55,1388.0,155.0,-2.0,AAPL
1998-06-01,1402,101,1486.0,206.0,17.0,AAPL
1998-09-01,1556,106,1642.0,282.0,-7.0,AAPL
1998-12-01,1710,152,1923.0,223.0,-5.0,AAPL
1999-03-01,1530,135,2175.0,269.0,1.0,AAPL
1999-06-01,1558,203,2970.0,88.0,-6.0,AAPL
1999-09-01,1336,111,3104.0,242.0,-38.0,AAPL
1999-12-01,2343,183,4414.0,373.0,-38.0,AAPL
2000-03-01,1945,233,4215.0,61.0,-17.0,AAPL
2000-06-01,1825,200,4176.0,234.0,-10.0,AAPL
2000-09-01,1870,170,4107.0,200.0,-77.0,AAPL
2000-12-01,1007,-195,3712.0,-13.0,-22.0,AAPL
2001-03-01,1431,43,3738.0,-44.0,-17.0,AAPL
2001-06-01,1475,61,3858.0,-33.0,-30.0,AAPL
2001-09-01,1450,66,3920.0,275.0,-163.0,AAPL
2001-12-01,1375,38,3966.0,42.0,-36.0,AAPL
2002-03-01,1495,40,4014.0,2.0,-43.0,AAPL
2002-06-01,1429,32,4066.0,-37.0,-31.0,AAPL
2002-09-01,1443,-45,4095.0,82.0,-64.0,AAPL
2002-12-01,1472,-8,4116.0,110.0,-20.0,AAPL
2003-03-01,1475,14,4139.0,98.0,-40.0,AAPL
2003-06-01,1545,19,4198.0,8.0,-46.0,AAPL
2003-09-01,1715,44,4223.0,73.0,-58.0,AAPL
2003-12-01,2006,63,4330.0,219.0,-44.0,AAPL
2004-03-01,1909,46,4490.0,61.0,-35.0,AAPL
2004-06-01,2014,61,4812.0,211.0,-38.0,AAPL
2004-09-01,2350,96,5076.0,443.0,-59.0,AAPL
2004-12-01,3490,295,5790.0,775.0,-58.0,AAPL
2005-03-01,3243,290,6386.0,536.0,-43.0,AAPL
2005-06-01,3520,319,6821.0,472.0,-63.0,AAPL
2005-09-01,3678,428,7428.0,752.0,-96.0,AAPL
2005-12-01,5749,565,8380.0,283.0,-82.0,AAPL
2006-03-01,4359,410,8682.0,-125.0,-193.0,AAPL
2006-06-01,4370,472,9330.0,1007.0,-237.0,AAPL
2006-09-01,4837,542,9984.0,1055.0,-145.0,AAPL
2006-12-01,7115,1004,11228.0,1813.0,-142.0,AAPL
2007-03-01,5264,770,12261.0,734.0,-105.0,AAPL
2007-06-01,5410,818,13404.0,1227.0,-283.0,AAPL
2007-09-01,6789,903,14532.0,1696.0,-205.0,AAPL
2007-12-01,9608,1581,16804.0,2787.0,-224.0,AAPL
2008-03-01,7512,1045,18053.0,1193.0,-160.0,AAPL
2008-06-01,7464,1072,19622.0,1321.0,-304.0,AAPL
2008-09-01,12907,2421,22297.0,4295.0,-403.0,AAPL
2008-12-01,11880,2255,22909.0,3938.0,-339.0,AAPL
2009-03-01,9084,1620,24311.0,841.0,-100.0,AAPL
2009-06-01,9734,1828,25888.0,2270.0,-246.0,AAPL
2009-09-01,12207,2532,31640.0,3110.0,-459.0,AAPL
2009-12-01,15683,3378,35768.0,5781.0,-376.0,AAPL
2010-03-01,13499,3074,39348.0,2330.0,-274.0,AAPL
2010-06-01,15700,3253,43111.0,4801.0,-595.0,AAPL
2010-09-01,20343,4308,47791.0,5683.0,-760.0,AAPL
2010-12-01,26741,6004,54666.0,9773.0,-1214.0,AAPL
2011-03-01,24667,5987,61477.0,6219.0,-624.0,AAPL
2011-06-01,28571,7308,69343.0,11108.0,-777.0,AAPL
2011-09-01,28270,6623,76615.0,10429.0,-1645.0,AAPL
2011-12-01,46333,13064,90054.0,17554.0,-1321.0,AAPL
2012-03-01,39186,11622,102498.0,13977.0,-1457.0,AAPL
2012-06-01,35023,8824,111746.0,10189.0,-2056.0,AAPL
2012-09-01,35966,8223,118210.0,9136.0,-3461.0,AAPL
2012-12-01,54512,13078,127346.0,23426.0,-2317.0,AAPL
2013-03-01,43603,9547,135490.0,12504.0,-2008.0,AAPL
2013-06-01,35323,6900,123354.0,7828.0,-1885.0,AAPL
2013-09-01,37472,7512,123549.0,9908.0,-1955.0,AAPL
2013-12-01,57594,13072,129684.0,22670.0,-1985.0,AAPL
2014-03-01,45646,10223,120179.0,13538.0,-1382.0,AAPL
2014-06-01,37432,7748,120940.0,10255.0,-2378.0,AAPL
2014-09-01,42123,8467,111547.0,13250.0,-3826.0,AAPL
2014-12-01,74599,18024,123328.0,33722.0,-3217.0,AAPL
2015-03-01,58010,13569,129006.0,19081.0,-2369.0,AAPL
2015-06-01,49605,10677,125677.0,14988.0,-2043.0,AAPL
2015-09-01,51501,11124,119355.0,13475.0,-3618.0,AAPL
2015-12-01,75872,18361,128267.0,27463.0,-3612.0,AAPL
2016-03-01,50557,10516,130457.0,11601.0,-2336.0,AAPL
2016-06-01,42358,7796,126541.0,10634.0,-2809.0,AAPL
2016-09-01,46852,9014,128249.0,16533.0,-3977.0,AAPL
2016-12-01,78351,17891,132390.0,27234.0,-3334.0,AAPL
2017-03-01,52896,11029,134082.0,12570.0,-2975.0,AAPL
2017-06-01,45408,8717,132425.0,8672.0,-2277.0,AAPL
2017-09-01,52579,10714,134047.0,15749.0,-3865.0,AAPL
2017-12-01,88293,20065,140199.0,28293.0,-2810.0,AAPL
2018-03-01,61137,13822,126878.0,15130.0,-4195.0,AAPL
2018-06-01,53265,11519,114949.0,14488.0,-3267.0,AAPL
2018-09-01,62900,14125,107147.0,19523.0,-3041.0,AAPL
2018-12-01,84310,19965,117892.0,26690.0,-3355.0,AAPL
2019-03-01,58015,11561,105860.0,11155.0,-2363.0,AAPL
2019-06-01,53809,10044,96456.0,11636.0,-2000.0,AAPL
2019-09-01,64040,13686,90488.0,19910.0,-2777.0,AAPL
2019-12-01,91819,22236,89531.0,30516.0,-2107.0,AAPL
2020-03-01,58313,11249,78425.0,13311.0,-1853.0,AAPL
2020-06-01,59685,11253,72282.0,16271.0,-1565.0,AAPL
2020-09-01,64698,12673,65339.0,20576.0,-1784.0,AAPL
2020-12-01,111439,28755,66224.0,38763.0,-3500.0,AAPL
2021-03-01,89584,23630,69178.0,23981.0,-2269.0,AAPL
2021-06-01,81434,21744,64280.0,21094.0,-2093.0,AAPL
2021-09-01,83360,20551,63090.0,20200.0,-3223.0,AAPL
2021-12-01,123945,34630,71932.0,46966.0,-2803.0,AAPL
2022-03-01,97278,25010,67399.0,28166.0,-2514.0,AAPL
2022-06-01,82959,19442,58107.0,22892.0,-2102.0,AAPL
2022-09-01,90146,20721,50672.0,24127.0,-3289.0,AAPL
2022-12-01,117154,29998,56727.0,34005.0,-3787.0,AAPL
2023-03-01,94836,24160,62158.0,28560.0,-2916.0,AAPL
2023-06-01,81797,19881,60274.0,26380.0,-2093.0,AAPL
2023-09-01,89498,22956,62146.0,21598.0,-2163.0,AAPL
2023-12-01,119575,33916,74100.0,39895.0,-2392.0,AAPL
2024-03-01,90753,23636,74194.0,22690.0,-1996.0,AAPL
2024-06-01,85777,21448,66708.0,28858.0,-2151.0,AAPL
2024-09-01,94930,14736,56950.0,26811.0,-2908.0,AAPL
2024-12-01,124300,36330,66758.0,29935.0,-2940.0,AAPL
2025-03-01,95359,24780,66796.0,23952.0,-3071.0,AAPL
2025-06-01,94036,23434,65830.0,27867.0,-3462.0,AAPL
2025-09-01,102466,27466,73733.0,29728.0,-3242.0,AAPL
2025-12-01,143756,42097,88190.0,53925.0,-2373.0,AAPL
1996-05-01,204,22,754.0,57.9,-6.4,ADBE
1996-08-01,181,29.8,626.0,33.1,-21.6,ADBE
1996-11-01,208,67.8,707.0,61.3,-7.4,ADBE
1997-02-01,226,46.5,739.0,35.5,-6.6,ADBE
1997-05-01,228,40.1,847.0,68.9,-10.0,ADBE
1997-08-01,230,53.4,872.0,54.3,-8.7,ADBE
1997-11-01,227,46.8,715.0,44.1,-8.5,ADBE
1998-02-01,198,26.7,634.0,31.3,-11.9,ADBE
1998-05-01,227,28,684.0,32.3,-24.6,ADBE
1998-08-01,223,0.2,679.0,81.0,-16.2,ADBE
1998-11-01,247,50.3,516.0,58.8,-7.0,ADBE
1999-02-01,227,38.3,545.0,36.7,-7.5,ADBE
1999-05-01,246,45,575.0,107.0,-10.2,ADBE
1999-08-01,261,57.2,578.0,93.2,-12.5,ADBE
1999-11-01,282,97.4,512.0,97.7,-12.1,ADBE
2000-02-01,282,64.6,637.0,48.7,1.5,ADBE
2000-05-01,300,65.8,604.0,118.0,-6.7,ADBE
2000-08-01,329,78.3,674.0,128.0,-6.9,ADBE
2000-11-01,355,79.2,753.0,150.0,-12.3,ADBE
2001-02-01,329,69.8,743.0,68.5,-10.3,ADBE
2001-05-01,344,61.3,683.0,139.0,-14.6,ADBE
2001-08-01,292,40.3,670.0,82.5,-12.8,ADBE
2001-11-01,265,34.3,617.0,129.0,-8.8,ADBE
2002-02-01,268,49.8,690.0,38.1,-5.7,ADBE
2002-05-01,317,54.3,808.0,109.0,-7.3,ADBE
2002-08-01,285,47.2,760.0,46.6,-7.3,ADBE
2002-11-01,295,40.1,674.0,136.0,-11.3,ADBE
2003-02-01,297,54.2,697.0,79.3,-7.5,ADBE
